2024-08-06 11:53:43 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2024-08-06 11:53:43 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2024-08-06 11:53:43 1  0      0  92800  24624 439836    0    0    50     7  118   85  0  0 99  0  0
2024-08-06 11:53:44 0  0      0  92800  24632 439824    0    0     0    36  316  113  0  0 100  0  0
2024-08-06 11:53:45 0  0      0  92800  24632 439824    0    0     0     0  274   98  1  0 99  0  0
2024-08-06 11:53:46 0  0      0  92800  24632 439824    0    0     0     0  290  105  0  1 99  0  0
2024-08-06 11:53:47 0  0      0  92800  24632 439824    0    0     0     0  240   83  0  0 100  0  0
2024-08-06 11:53:48 0  0      0  92800  24632 439824    0    0     0     0  250   89  0  0 100  0  0
2024-08-06 11:53:49 0  0      0  92800  24632 439824    0    0     0    12  298   91  0  0 100  0  0
2024-08-06 11:53:50 0  0      0  92800  24640 439824    0    0     0    24  337  114  0  0 100  0  0
2024-08-06 11:53:51 0  0      0  92800  24640 439824    0    0     0     0  250   84  0  0 100  0  0
2024-08-06 11:53:52 0  0      0  92800  24640 439824    0    0     0     0  244   84  0  0 100  0  0
2024-08-06 13:51:02 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2024-08-06 13:51:02 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2024-08-06 13:51:02 1  0      0 100324   8268 460428    0    0    55    21  169   81  0  0 99  0  0
2024-08-06 13:51:03 0  0      0 100324   8268 460460    0    0     0     0  256   90  0  0 100  0  0
2024-08-06 13:51:04 0  0      0 100324   8268 460460    0    0     0    12  258   87  0  0 100  0  0
2024-08-06 13:51:05 0  0      0 100324   8268 460460    0    0     0     0  296  100  0  0 100  0  0
2024-08-06 13:51:06 0  0      0 100324   8268 460460    0    0     0     0  238   83  0  0 100  0  0
2024-08-06 13:51:07 0  0      0 100324   8268 460460    0    0     0     4  262   91  0  0 100  0  0
2024-08-06 13:51:08 0  0      0 100072   8276 460460    0    0     0    16  312  108  0  0 100  0  0
2024-08-06 13:51:09 0  0      0 100072   8276 460460    0    0     0     0  332  130  0  0 100  0  0
2024-08-06 13:51:10 0  0      0 100072   8276 460460    0    0     0     8  388  150  1  0 98  0  1
2024-08-06 13:51:11 0  0      0 100072   8276 460460    0    0     0     0  232   80  0  0 100  0  0
2024-08-06 13:51:12 0  0      0 100072   8276 460460    0    0     0     0  266  103  0  0 100  0  0
2024-08-06 13:51:13 0  0      0 100072   8284 460460    0    0     0    24  360  142  1  0 99  0  0
2024-08-06 13:51:14 0  0      0 100072   8284 460460    0    0    16     0  353  191  0  0 100  0  0
2024-08-06 13:51:15 0  0      0 100072   8284 460476    0    0     0     8  300  104  0  0 100  0  0
2024-08-06 13:51:16 0  0      0 100072   8284 460476    0    0     0     0  278  105  1  1 98  0  0
2024-08-06 13:51:17 0  0      0 100072   8284 460476    0    0     0     0  278  100  0  0 100  0  0
2024-08-06 13:51:18 0  0      0 100072   8292 460476    0    0     0    16  266  110  0  0 99  1  0
2024-08-06 13:51:19 0  0      0 100072   8292 460476    0    0     0     4  294   92  0  0 100  0  0
2024-08-06 13:51:20 0  0      0 100072   8292 460476    0    0     0    12  296   99  0  0 100  0  0
2024-08-06 13:51:21 0  0      0 100072   8292 460476    0    0     0     0  264  100  0  0 100  0  0
2024-08-06 13:51:22 0  0      0 100072   8292 460476    0    0     0     0  238   88  0  0 100  0  0
2024-08-06 13:51:23 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2024-08-06 13:51:23 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2024-08-06 13:51:23 1  0      0 100072   8300 460468    0    0     0    20  318  117  0  0 100  0  0
2024-08-06 13:51:24 0  0      0 100072   8300 460476    0    0     0     0  286  119  0  0 100  0  0
2024-08-06 13:51:25 0  0      0 100072   8300 460476    0    0     0    12  352  108  0  0 100  0  0
2024-08-06 13:51:26 0  0      0 100072   8300 460476    0    0     0     0  277   90  0  0 100  0  0
2024-08-06 13:51:27 0  0      0 100072   8300 460480    0    0     0     0  278  102  1  1 98  0  0
2024-08-06 13:51:28 0  0      0 100072   8308 460484    0    0     0    16  266  103  0  0 100  0  0
2024-08-06 13:51:29 0  0      0 100072   8308 460484    0    0     0     0  286  106  0  1 99  0  0
2024-08-06 13:51:30 0  0      0 100072   8308 460484    0    0     0     8  284   98  0  0 100  0  0
2024-08-06 13:51:31 0  0      0 100072   8308 460484    0    0     0     8  312  101  0  0 100  0  0
2024-08-06 13:51:32 0  0      0 100072   8308 460484    0    0     0     0  278  104  0  1 99  0  0
2024-08-06 13:51:33 0  0      0 100072   8316 460484    0    0     0    36  312  113  0  0 100  0  0
2024-08-06 13:51:34 0  0      0 100072   8316 460484    0    0     0     0  244   89  0  0 100  0  0
2024-08-06 13:51:35 0  0      0 100072   8316 460484    0    0     0     8  292  111  0  0 100  0  0
2024-08-06 13:51:36 0  0      0 100072   8316 460484    0    0     0     0  252   86  0  0 100  0  0
2024-08-06 13:51:37 0  0      0 100072   8316 461108    0    0   608     4  452  312  0  0 99  1  0
2024-08-06 13:51:38 0  0      0 100072   8324 461108    0    0     0    32  228  103  0  0 100  0  0
2024-08-06 13:51:39 0  0      0 100072   8324 461108    0    0     0     0  266   98  0  0 100  0  0
2024-08-06 13:51:40 0  0      0 100072   8324 461108    0    0     0     8  296   94  0  0 100  0  0
2024-08-06 13:51:41 0  0      0 100072   8324 461108    0    0     0     0  276   94  0  0 100  0  0
2024-08-06 13:51:42 0  0      0 100072   8324 461108    0    0     0   352  413  190  0  0 100  0  0
2024-08-06 13:51:43 0  0      0 100072   8332 461108    0    0     0    52  322  111  0  0 100  0  0
2024-08-06 13:51:44 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
2024-08-06 13:51:44 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
2024-08-06 13:51:44 1  0      0 100072   8332 461108    0    0     0     0  246   96  1  0 99  0  0
2024-08-06 13:51:45 0  0      0 100072   8332 461108    0    0     0     8  284  127  0  1 99  0  0
2024-08-06 13:51:46 0  0      0 100072   8332 461108    0    0     0     0  266   98  0  0 100  0  0
2024-08-06 13:51:47 0  0      0 100072   8332 461108    0    0     0     0  272  102  0  0 100  0  0
2024-08-06 13:51:48 0  0      0 100072   8340 461108    0    0     0    16  254  103  0  1 98  1  0
2024-08-06 13:51:49 0  0      0 100072   8340 461108    0    0     0     4  308   94  0  0 100  0  0
2024-08-06 13:51:50 0  0      0 100072   8340 461108    0    0     0     8  252   93  0  0 100  0  0
2024-08-06 13:51:51 0  0      0 100072   8340 461108    0    0     0     0  352  124  0  0 100  0  0
2024-08-06 13:51:52 0  0      0 100072   8340 461108    0    0     0     0  238   87  0  0 100  0  0
2024-08-06 13:51:53 0  0      0 100072   8348 461108    0    0     0    20  311  107  0  0 100  0  0
